iter	Passed	Remaining
928	2176	166
929	2178	163
930	2180	161
931	2182	159
932	2185	156
933	2187	154
934	2188	152
935	2191	149
936	2193	147
937	2195	145
938	2197	142
939	2200	140
940	2202	138
941	2204	135
942	2207	133
943	2209	131
944	2211	128
945	2213	126
946	2216	124
947	2218	121
948	2220	119
949	2223	117
950	2225	114
951	2227	112
952	2230	109
953	2232	107
954	2234	105
955	2236	102
956	2238	100
957	2241	98
958	2243	95
959	2245	93
960	2248	91
961	2250	88
962	2253	86
963	2255	84
964	2257	81
965	2259	79
966	2261	77
967	2264	74
968	2266	72
969	2269	70
970	2271	67
971	2273	65
972	2276	63
973	2278	60
974	2280	58
975	2283	56
976	2285	53
977	2288	51
978	2290	49
979	2292	46
980	2295	44
981	2297	42
982	2299	39
983	2302	37
984	2304	35
985	2307	32
986	2309	30
987	2312	28
988	2314	25
989	2316	23
990	2319	21
991	2321	18
992	2323	16
993	2326	14
994	2328	11
995	2331	9
996	2333	7
997	2336	4
998	2338	2
999	2341	0
